,,0
peatland,18,0.22646464646464645
peatland,19,0.28464646464646465
peatland,20,0.26262626262626265
peatland,21,0.23232323232323232
peatland,22,0.22377198302001214
peatland,23,0.2175757575757576
peatland,24,0.1800363709840372
peatland,25,0.21660941604364517
peatland,26,0.18630026267932917
peatland,27,0.18787878787878787
peatland,28,0.2383838383838384
peatland,29,0.2286868686868687
peatland,30,0.24868686868686868
peatland,31,0.2703030303030303
peatland,32,0.16757630887406508
peatland,33,0.24242424242424243
peatland,34,0.24560339599757428
peatland,35,0.24059846340477153
peatland,36,0.24914124065467771
peatland,37,0.1509395837542938
peatland,38,0.17639927258031926
peatland,39,0.2210547585370782
peatland,40,0.2678787878787879
peatland,41,0.23414141414141415
peatland,42,0.16649828248130935
peatland,43,0.19983835118205698
peatland,44,0.22590422307536875
peatland,45,0.16464401294498382
peatland,46,0.25884016973125884
peatland,47,0.1616488179430188
peatland,48,0.2996564962618711
peatland,49,0.17676767676767677
peatland,50,0.24545086938940558
peatland,51,0.22727272727272727
peatland,52,0.22624342903356248
peatland,53,0.19757575757575757
peatland,54,0.21458880581935744
peatland,55,0.23003840711542348
peatland,56,0.20606060606060606
peatland,57,0.2023857662757784
peatland,58,0.18415201131999193
peatland,59,0.1966053748231966
peatland,60,0.20691048696706404
peatland,61,0.26773085471812486
peatland,62,0.31885229339260457
peatland,63,0.2376237623762376
peatland,64,0.21427127552051747
peatland,65,0.2406546777126692
peatland,66,0.2195959595959596
peatland,67,0.2642958173368357
peatland,68,0.2581818181818182
peatland,69,0.1665992721391023
peatland,70,0.18266316427561125
peatland,71,0.14972721761972116
peatland,72,0.20282828282828283
peatland,73,0.29515151515151516
peatland,74,0.21398262275207114
peatland,75,0.22626262626262628
peatland,76,0.2362093352192362
peatland,77,0.17134774701959993
peatland,78,0.1966053748231966
peatland,79,0.21616161616161617
peatland,80,0.19555555555555557
peatland,81,0.18617343844754397
peatland,82,0.21676767676767678
peatland,83,0.24727272727272728
peatland,84,0.265009096422074
peatland,85,0.17494949494949494
peatland,86,0.2617748130179907
peatland,87,0.18525252525252525
peatland,88,0.2698605215281989
peatland,89,0.19252525252525252
peatland,90,0.1874747474747475
peatland,91,0.22303030303030302
peatland,92,0.23661345726409375
peatland,93,0.2507070707070707
peatland,94,0.20505050505050504
peatland,95,0.22529804000808243
peatland,96,0.23534169025475132
peatland,97,0.24631238634067487
peatland,98,0.222020202020202
peatland,99,0.23030303030303031
tundra,0,0.09380064829821717
tundra,1,0.07355021216407355
tundra,2,0.06672058228871816
tundra,3,0.08835422563687828
tundra,4,0.10533764658309745
tundra,5,0.07801131770412288
