,0
97_40706,0.0010627768957670537
97_4072,7.17907907645292e-07
97_4075,0.0006167461716715413
97_4077,0.0002747932075451097
97_409,1.4212724484018334e-05
97_4107,8.707617928475967e-06
97_4118,1.124706927099981e-05
97_4127,1.129056894041244e-07
97_4148,8.643502331524867e-06
97_4156,2.833904837474892e-06
97_4158,0.0006893610818046299
97_4177,0.0009014118562127244
97_4179,8.730997293398656e-05
97_41820,4.568071709950442e-05
97_4189,0.00010356140727450819
97_422,6.062218072571011e-05
97_423,7.450364277352099e-06
97_4266,0.001096030589436158
97_428,6.16265531437419e-08
97_4280,8.405649941665144e-07
97_4287,0.000833792023589177
97_4297,2.3165640720206816e-05
97_4302,2.0489701699663777e-05
97_433,0.00026472183086407664
97_4341,0.00014983273718139833
97_4364,1.7456129794584853e-05
97_4386,5.849314356225463e-05
97_441,0.038783837951298535
97_4417,4.143109808458506e-06
97_44192,3.193389224457527e-08
97_44193,1.3907780588044226e-05
97_44396,1.1186955489576937e-05
97_4440,9.443986613540975e-05
97_44468,4.602283142299791e-07
97_4456,0.0013171958613667923
97_4476,0.0019146709455698154
97_4483,3.0216035549865203e-05
97_4514,0.00041740484932691947
97_4536,1.101668332437922e-06
97_454,2.9545548646648606e-05
97_4549,0.0004331255266586515
97_4552,2.290685203502504e-07
97_4553,0.0001855789594349055
97_4564,0.0003373662666094161
97_4575,0.0002816034682837043
97_4580,6.0109480521653165e-05
97_4582,5.531358989574868e-07
97_4590,5.7309872183294354e-05
97_4591,1.5133100348006138e-07
97_46047,1.95098163636629e-05
97_46055,2.233439212997452e-06
97_4606,4.6675348795881896e-05
97_4607,3.7032106041526675e-05
97_46073,8.541392505967669e-07
97_46318,7.044630543702813e-06
97_46517,2.8855559936731683e-06
97_46587,0.00787270970282109
97_4665,2.2964270996920087e-05
97_4677,3.499793036715909e-05
97_4690,0.00016110960602818856
97_4693,1.6447496500133704e-05
97_4699,8.776669563877369e-06
97_476,4.905678141540195e-05
97_47710,7.950058132937715e-05
97_48331,3.4536596290938544e-05
97_49336,1.410170934902299e-05
97_49575,2.5639568130191258e-08
97_496,0.005004264001991328
97_50077,8.818700002327819e-08
97_505,1.3942237602692696e-06
97_5115,6.459614028507668e-05
97_51697,2.536441242369117e-05
97_517,4.248959797704081e-05
97_5199,8.422879439675656e-07
97_52109,2.850092345126338e-05
97_52419,9.770160491690957e-09
97_53171,7.183649902065126e-06
97_551,1.4354746725775285e-06
97_5667,0.00017564099432965444
97_567,0.00037629892891499615
97_574,0.0003260564524432097
97_57693,9.22666691271132e-07
97_5787,4.283054057988349e-05
97_5797,2.5129922878990814e-05
97_582,0.07270543655462265
97_58450,2.804015852820317e-05
97_59,0.024684197588404858
97_592,0.0006063158790853982
97_59658,1.5377778187846902e-06
97_59915,2.321263385262035e-05
97_60610,3.869944179151352e-08
97_61543,2.479666732789644e-06
97_6183,2.794631602291663e-05
97_62713,4.132777887984256e-06
97_628,4.527934171747635e-05
97_6318,5.6110687050041665e-05
97_6338,1.2416592744290833e-05
97_63420,5.384309307340054e-07
97_649,5.5550071222333344e-05
97_65,0.009048915757455808
97_65006,1.413922584627937e-07
97_654,0.00033711052871267434
97_65734,9.650436147822424e-08
97_6590,6.340681047190731e-05
97_66204,1.3854096106385357e-07
97_66628,3.885811736605721e-05
97_673,0.00040711217778203644
