,env,sample,deterministic processes,stochastic processes
905,groundwater,5,6.76767676767676,93.23232323232324
926,groundwater,26,7.898989898989891,92.1010101010101
907,groundwater,7,6.84848484848484,93.15151515151516
908,groundwater,8,7.2958771220695215,92.70412287793047
909,groundwater,9,6.8686868686868605,93.13131313131314
916,groundwater,16,3.93939393939393,96.06060606060608
938,groundwater,38,7.29440290967872,92.70559709032128
906,groundwater,6,8.2036775106082,91.7963224893918
936,groundwater,36,9.43434343434343,90.56565656565657
949,groundwater,49,5.85858585858585,94.14141414141415
947,groundwater,47,8.46464646464646,91.53535353535354
946,groundwater,46,6.121212121212119,93.87878787878788
945,groundwater,45,7.619240097008889,92.38075990299112
944,groundwater,44,6.686868686868681,93.31313131313132
943,groundwater,43,9.13315821378056,90.86684178621944
942,groundwater,42,10.04040404040404,89.95959595959596
940,groundwater,40,8.87047888462315,91.12952111537685
939,groundwater,39,10.06263891695291,89.9373610830471
925,groundwater,25,6.243685593049101,93.7563144069509
948,groundwater,48,5.85858585858585,94.14141414141415
941,groundwater,41,7.3131313131313105,92.68686868686869
935,groundwater,35,5.55555555555555,94.44444444444446
934,groundwater,34,5.21212121212121,94.7878787878788
933,groundwater,33,8.42424242424242,91.57575757575758
901,groundwater,1,8.24408971509395,91.75591028490605
932,groundwater,32,5.13131313131313,94.86868686868686
931,groundwater,31,8.75101050929668,91.24898949070332
930,groundwater,30,6.082036775106079,93.91796322489392
929,groundwater,29,9.21398262275207,90.78601737724793
900,groundwater,0,8.484848484848479,91.51515151515152
902,groundwater,2,6.89028086482117,93.10971913517884
937,groundwater,37,6.66801374014952,93.33198625985048
1332,lake,32,6.122448979591829,93.87755102040818
1331,lake,31,8.1715210355987,91.8284789644013
1330,lake,30,7.3954334208931,92.6045665791069
1350,lake,50,6.852637962401451,93.14736203759855
1328,lake,28,9.99190938511326,90.00809061488674
1327,lake,27,8.14305920387957,91.85694079612043
1337,lake,37,7.33481511416447,92.66518488583553
1333,lake,33,10.735948241002829,89.26405175899717
1329,lake,29,6.476421776968221,93.52357822303178
1334,lake,34,7.5677863213273895,92.43221367867261
1345,lake,45,7.883565797453,92.116434202547
1335,lake,35,6.731352334748331,93.26864766525166
1338,lake,38,6.934896886372821,93.06510311362717
1325,lake,25,6.02263540824575,93.97736459175425
1339,lake,39,6.68016194331983,93.31983805668017
1340,lake,40,7.0966437525272905,92.90335624747271
1341,lake,41,7.44788504351346,92.55211495648653
1342,lake,42,10.34761519805982,89.65238480194017
1343,lake,43,9.01192160032329,90.98807839967671
1344,lake,44,10.49120679199514,89.50879320800486
1347,lake,47,7.001214083367049,92.99878591663295
1326,lake,26,8.94193809427473,91.05806190572527
1300,lake,0,5.237613751263899,94.7623862487361
1323,lake,23,4.9504950495049505,95.04950495049505
1313,lake,13,10.115314586283631,89.88468541371637
1346,lake,46,10.26469993938169,89.73530006061831
1309,lake,9,6.5802794087872,93.4197205912128
1308,lake,8,7.92239288601455,92.07760711398545
1307,lake,7,9.642207398423281,90.35779260157672
1306,lake,6,8.56911883589329,91.43088116410671
1349,lake,49,7.86335152617748,92.13664847382252
1304,lake,4,11.218920557913883,88.78107944208612
1303,lake,3,6.04339890488744,93.95660109511256
1312,lake,12,6.042845594179459,93.95715440582055
1310,lake,10,5.882352941176469,94.11764705882354
1324,lake,24,8.04365400161681,91.95634599838318
1305,lake,5,7.978938841636291,92.02106115836371
1317,lake,17,6.6504952496462515,93.34950475035374
1314,lake,14,5.958654235914059,94.04134576408595
1315,lake,15,7.3146090119216005,92.6853909880784
1316,lake,16,5.882352941176469,94.11764705882354
1318,lake,18,9.22703358963982,90.77296641036018
1319,lake,19,7.67987065481002,92.32012934518998
1320,lake,20,6.2095469255663405,93.79045307443366
1321,lake,21,11.17623282134195,88.82376717865804
1322,lake,22,8.38722716248989,91.61277283751011
1348,lake,48,9.96563573883161,90.03436426116839
1311,lake,11,9.44388270980788,90.55611729019212
1336,lake,36,9.89277766538539,90.1072223346146
1375,lake,75,9.860295606398049,90.13970439360195
1376,lake,76,10.43056397816858,89.56943602183142
1373,lake,73,8.61650485436893,91.38349514563107
1379,lake,79,6.148867313915849,93.85113268608416
1380,lake,80,6.5683104284559395,93.43168957154406
1381,lake,81,6.651839870602499,93.3481601293975
1382,lake,82,6.42943792964011,93.57056207035988
1383,lake,83,12.13101496158512,87.86898503841488
1384,lake,84,9.50070749949464,90.49929250050536
1386,lake,86,7.580351728320189,92.4196482716798
1387,lake,87,9.52284674484431,90.47715325515568
1389,lake,89,9.51515151515151,90.48484848484848
1385,lake,85,7.00546669366268,92.99453330633732
1391,lake,91,8.36532632855122,91.63467367144878
1392,lake,92,4.9747219413549,95.0252780586451
1393,lake,93,8.83542256368782,91.16457743631219
1374,lake,74,8.589329021827,91.410670978173
1394,lake,94,9.05416329830234,90.94583670169766
1395,lake,95,7.28302650212421,92.71697349787578
1396,lake,96,4.85142510612492,95.14857489387508
1397,lake,97,8.02506569638164,91.97493430361835
1398,lake,98,5.94660194174757,94.05339805825243
1399,lake,99,6.6329625884732,93.3670374115268
1351,lake,51,11.98706286638366,88.01293713361633
1301,lake,1,5.315278900565881,94.68472109943411
1388,lake,88,13.14724919093851,86.85275080906149
1353,lake,53,9.438156831042841,90.56184316895715
1352,lake,52,8.79854368932038,91.20145631067962
1354,lake,54,6.32962588473205,93.67037411526795
1355,lake,55,7.355021216407349,92.64497878359265
1356,lake,56,7.72185162724883,92.27814837275118
1357,lake,57,8.35187057633973,91.64812942366027
1358,lake,58,7.765419615773499,92.2345803842265
1359,lake,59,10.91129521115376,89.08870478884624
1360,lake,60,6.614077669902909,93.38592233009709
1361,lake,61,7.910176006473801,92.0898239935262
1362,lake,62,8.04853387259858,91.95146612740142
1363,lake,63,6.955115244642129,93.04488475535787
1378,lake,78,8.75101050929668,91.24898949070332
1390,lake,90,9.41414141414141,90.58585858585859
1364,lake,64,7.682976142337241,92.31702385766276
1377,lake,77,8.23053589484327,91.76946410515673
1372,lake,72,9.33710590137429,90.66289409862571
1371,lake,71,9.44006468566808,90.55993531433192
1370,lake,70,7.74206589852435,92.25793410147566
1302,lake,2,8.59280226445612,91.40719773554387
1368,lake,68,10.02627855265817,89.97372144734183
1367,lake,67,6.994137861330089,93.00586213866991
1366,lake,66,7.3954334208931,92.6045665791069
1365,lake,65,7.215036378334679,92.78496362166533
1369,lake,69,8.69213664847382,91.30786335152618
1066,sediment,66,9.151515151515149,90.84848484848484
1073,sediment,73,12.0428369367549,87.9571630632451
1051,sediment,51,8.05668016194331,91.9433198380567
1072,sediment,72,7.902182700080839,92.09781729991916
1071,sediment,71,8.74924227116589,91.25075772883412
1070,sediment,70,5.30257032989273,94.69742967010727
1069,sediment,69,7.48782467532467,92.51217532467533
1068,sediment,68,9.63831076985249,90.3616892301475
1067,sediment,67,8.7467098602956,91.2532901397044
1065,sediment,65,9.466019417475719,90.53398058252428
1062,sediment,62,10.87088300666801,89.12911699333199
