sample_name,env_type,env_00,env_01,env_02,nif_type,mapped_16106_16s_type,y,x,convertedthetao_mean_Layer,re_type
SRR7599600.SRS3196403,parallel,aquatic;marine,aquatic,sea,0,23,-50.01,-169.99,9.63670122427452,0
SRR11796549.SRS6664644,overlap,aquatic;marine,aquatic,sea,12,117,54.46,10.36,10.5211761206552,0.102564102564103
SRR8190976.SRS4044256,overlap,aquatic;ocean,aquatic,sea,1,23,21.202,38.046,28.7772926771588,0.0434782608695652
SRR7598805.SRS3194277,parallel,aquatic;marine,aquatic,sea,2,49,-19.308,147.618,25.7202802220256,0.0408163265306122
ERR2304624.ERS2203806,parallel,aquatic;marine,aquatic,sea,0,10,-43.258,173.282,12.7626793958018,0
SRR5001988.SRS1775937,parallel,aquatic;marine,aquatic,sea,4,34,38.32,-123.05,10.7681722132154,0.117647058823529
SRR6471268.SRS2834224,parallel,aquatic;marine,aquatic,sea,0,35,-34.119,151.227,20.4315708716673,0
SRR2980450.SRS1196322,overlap,aquatic;sea,aquatic,sea,0,46,-13.253,-14.4,24.5021734832552,0
SRR3821395.SRS1551970,overlap,aquatic;marine,aquatic,sea,1,54,-61.989,-54.943,-0.647648062016261,0.0185185185185185
ERR4314583.ERS4799429,overlap,aquatic;marine,aquatic,sea,6,72,58.583,18.233,8.95516722031785,0.0833333333333333
SRR6242117.SRS2649259,overlap,aquatic;marine,aquatic,sea,0,56,27.89,-94.036,25.3504898133669,0
SRR8248084.SRS4081613,overlap,aquatic;sea,aquatic,sea,3,83,57.813,22.646,8.88804655843763,0.036144578313253
SRR7596698.SRS2777444,parallel,aquatic;marine,aquatic,sea,0,23,-53.004,-170.014,8.20899074969703,0
SRR3499952.SRS1434309,overlap,aquatic;sea,aquatic,sea,4,84,54.454,10.198,10.5938604259693,0.0476190476190476
SRR5229863.SRS1958260,overlap,aquatic;marine,aquatic,sea,8,97,24.834,121.962,25.5707982274413,0.0824742268041237
SRR1582391.SRS706645,parallel,aquatic;ocean,aquatic,sea,13,304,30.73,-122.44,16.951757365839,0.0427631578947368
SRR3884565.SRS1300658,overlap,aquatic;marine,aquatic,sea,1,42,16.834,71.992,28.6052208534166,0.0238095238095238
SRR3500130.SRS1434766,overlap,aquatic;sea,aquatic,sea,2,52,54.454,10.198,10.5938604259693,0.0384615384615385
SRR11836384.SRS6700586,overlap,aquatic;estuary,aquatic,estuary,5,88,65.811,22.387,5.98564160126003,0.0568181818181818
SRR5469102.SRS2139769,overlap,aquatic;marine,aquatic,sea,9,320,-22.5,-33,25.2663231638876,0.028125
SRR5918453.SRS2418863,parallel,aquatic;marine,aquatic,sea,2,58,-32.6,153.127,22.5669557959968,0.0344827586206897
SRR5002079.SRS1775756,parallel,aquatic;marine,aquatic,sea,5,34,38.32,-123.05,10.7681722132154,0.147058823529412
SRR7648309.SRS3630440,overlap,aquatic;marine,aquatic,sea,34,408,22.75,-158,24.929736343873,0.0833333333333333
SRR6471657.SRS2834498,parallel,aquatic;marine,aquatic,sea,2,102,-42.597,148.233,14.6442606675042,0.0196078431372549
ERR3004152.ERS2986123,overlap,aquatic;ocean,aquatic,sea,1,64,22.075,-39.798,25.1276873681461,0.015625
SRR7032533.SRS2834475,parallel,aquatic;marine,aquatic,sea,1,64,-42.597,148.233,14.6442606675042,0.015625
SRR6401314.SRS2777781,parallel,aquatic;marine,aquatic,sea,3,38,-18.574,146.496,25.9860210081634,0.0789473684210526
DRR199956.DRS147659,overlap,aquatic;marine,aquatic,sea,12,132,29,122.5,20.4575757092177,0.0909090909090909
SRR8167153.SRS4024739,parallel,aquatic;sea,aquatic,sea,0,50,44.4,-63.45,7.67090556124483,0
SRR12432831.SRS7184909,parallel,aquatic;sea,aquatic,sea,0,48,-55.006,-138.592,5.23906773539671,0
SRR5917270.SRS2418133,parallel,aquatic;marine,aquatic,sea,0,57,-42.597,148.233,14.6442606675042,0
SRR11906887.SRS6755015,parallel,aquatic;sea,aquatic,sea,0,44,60.273,-4.343,10.6992013410609,0
SRR8172653.SRS4028672,parallel,aquatic;marine,aquatic,sea,0,38,-35.21,175.51,18.7982693070872,0
SRR3727517.SRS1529995,parallel,aquatic;sea,aquatic,sea,14,204,58.82,17.63,8.54965368879699,0.0686274509803922
SRR6171769.SRS2592929,overlap,aquatic;sea,aquatic,sea,2,36,29.123,-87.868,24.8437413463179,0.0555555555555556
SRR6318708.SRS2711289,parallel,aquatic;ocean,aquatic,sea,3,48,8,120,29.0521039476421,0.0625
SRR2104219.SRS993302,overlap,aquatic;marine,aquatic,sea,6,156,55.18,7.9,10.9677788647,0.0384615384615385
